7	12	14	16	18	20	16	18	20	22	25	20	22	25	28	32
8	18	20	22	25	28	22	25	28	32	36	28	32	36	40	45
9	25	28	32	36	40	32	36	40	45	50	40	455	50	56	63
10	71	80	90	100	112	45	50	56	63	71	56	63	71	80	90
11	50	56	63	71	80	63	71	80	90	100	80	90	100	112	125
