0,05	0,15	0,5	1,5	5	16	50
(0,055)	(0,18)	(0,55)	(1,75)	(5,5)	(18)	(55)
0,06	0,2	0,6	2	6	20	60
(0,07)	(0,22)	(0,7)	(2,25)	(7)	(22)	(70)
0,08	0,25	0,8	2,5	8	25	80
(0,09)	(0,28)	(0,9)	(2,75)	(9)	(28)	(90)
0,1	0,3	1	3	10	32	100
(0,11)	(0,35)	(1,125)	(3,5)	(11)	(36)	
0,12	0,4	1,25	4	12	40	
(0,14)	(0,45)	(1,375)	(4,5)	(14)	(45)	
