1	1,476	2,25	3,321	3,75	5,535	7	10,332
1,25	1,845	2,5	3,690	4	5,904	8	11,809
1,5	2,214	2,75	4,059	4,5	6,642	9	13,258
1,75	2,583	3	4,428	5	7,380	10	14,761
2	2,952	3,5	5,166	6	8,856		 
