2,09 × 56	56	0,4536	2,096	1,854	1,613
2,29 × 56	56	0,4536	2,299	2,057	1,816
2,6 × 56	56	0,4536	2,604	2,362	2,121
7,9 × 26	26	0,9769	7,938	7,418	6,897
9,5 × 26	26	0,9769	9,525	9,004	8,484
14,2 × 20	20	1,2700	14,288	13,611	12,934
*25,4 × 24	24	1,0583	25,400	24,836	24,272
*34,7 × 24	24	1,0583	34,798	34,234	33,670
7 × 28	28	0,9071	7,000	6,419	5,838
10,5 × 26	26	0,9769	10,550	9,924	9,298
33 × 24	24	1,0583	33,000	32,323	31,646
*34,9 × 24	24	1,0583	34,900	34,223	33,546
