<i>ei</i>	-	-130	-144	-162	-181	-204	-
11a	<i>es</i>	-	-100	-110	-125	-140	-160	-
<i>es<sub>e</sub></i>	-	-145	-160	-185	-208	-235	-
<i>ei</i>	-	-225	-250	-285	-320	-360
11c	<i>es</i>	-	-60	-66	-75	-84	-96	-
<i>es<sub>e</sub></i>	-	-105	-116	-135	-152	-171	-
<i>ei</i>	-	-185	-206	-235	-264	-296	-

7f	<i>es</i>	-	-	-25	-28	-32	-36	-40
<i>es<sub>e</sub></i>	-	-	-40	-45	-50	-56	-63
<i>ei</i>	-	-	-65	-73	-82	-92	-103
7h	<i>es</i>	-	-	0	0	0	0	0
<i>es<sub>e</sub></i>	-	-	-15	-17	-18	-20	-23
<i>ei</i>	-	-	-40	-45	-50	-56	-63
7n	<i>es</i>	-	-	+50	+56	+64	+72	+80
<i>es<sub>e</sub></i>	-	-	+35	+38	+46	+52	+57
<i>ei</i>	-	-	+10	+11	+14	+16	+17
8f	<i>es</i>	-	-	-25	-28	-32	-36	-40
<i>es<sub>e</sub></i>	-	-	-45	-51	-58	-66	-74
<i>ei</i>	-	-	-81	-91	-103	-116	-130
8k	<i>es</i>	-	-	-25	-28	-32	-36	-40
<i>es<sub>e</sub></i>	-	-	-45	-51	-58	-66	-74
<i>ei</i>	-	-	-81	-91	-103	-116	-130
8p	<i>es</i>	-	-	+75	+74	+96	+108	+120
<i>es<sub>e</sub></i>	-	-	+55	+61	+70	+78	+86
<i>ei</i>	-	-	+19	+21	+25	+28	+30
9d	<i>es</i>	-	-	-50	-56	-64	-72	-80
<i>es<sub>e</sub></i>	-	-	-80	-90	-101	-113	-125
<i>ei</i>	-	-	-130	-146	-164	-184	-205
9g	<i>es</i>	-	-	-12	-14	-16	-18	-20
<i>es<sub>e</sub></i>	-	-	-42	-48	-53	-59	-65
<i>ei</i>	-	-	-92	-104	-116	-130	-145
9h	<i>es</i>	-	-	0	0	0	0	0
<i>es<sub>e</sub></i>	-	-	-30	-34	-37	-41	-45
<i>ei</i>	-	-	-80	-90	-100	-112	-125
10d	<i>es</i>	-	-	-50	-56	-64	-72	-80
<i>es<sub>e</sub></i>	-	-	-91	-101	-114	-132	-148
<i>ei</i>	-	-	-162	-181	-204	-232	-260
11a	<i>es</i>	-	-	-125	-140	-160	-180	-200
<i>es<sub>e</sub></i>	-	-	-185	-208	-235	-264	-290
<i>ei</i>	-	-	-285	-320	-360	-404	-450
11c	<i>es</i>	-	-	-75	-84	-96	-108	-120
<i>es<sub>e</sub></i>	-	-	-135	-152	-171	-192	-210
<i>ei</i>	-	-	-235	-264	-296	-332	-370
