1	1,3871	0,7476	3,5	4,8547	2,6165	9	12,4834	6,7282
1,25	1,7338	0,9344	3,75	5,2017	2,8034	10	13,8705	7,4757
1,5	2,0806	1,1214	4	5,5482	2,9903	11	15,2575	8,2333
1,75	2,4273	1,3082	4,5	6,2417	3,3641	12	16,6446	8,9709
2	2,7741	1,4951	5	6,9353	3,7379	14	19,4187	10,4661
2,25	3,1209	1,6820	5,5	7,6288	4,1117	16	22,1928	11,9612
2,5	3,4677	1,8689	6	8,3223	4,4854	18	24,9669	13,4564
2,75	3,8144	2,0558	7	9,7093	5,2330	20	27,7410	4,0515
3	4,1612	2,2427	8	11,0964	5,9806	22	30,5151	16,4467
