6	23	26	6	22,1	3,54	0,3	0<br>+0,2	0,2	4,0
26	30	24,6	3,85	6,3
28	32	7	26,7	4,03	
8	32	36	6	30,4	2,71	0,4	0,3	7,2
36	40	7	34,5	3,46
42	46	8	40,4	5,03
46	50	9	44,6	5,75
52	58	10	49,7	4,89	0,5	0<br>0,3	0,5	12,0
56	62	53,6	6,38
62	68	12	59,8	7,31
10	72	78	69,6	5,45	15,0
82	88	79,3	8,62
92	98	14	89,4	10,08
102	108	16	99,9	11,49
112	120	18	108,8	10,72	22,5
