30	0,75	29,513	29,188	29,080	M 30x0,75
32	2	30,701	29,835	29,546	M 32x2
32	1,5	31,026	30,376	30,160	M 32x1,5
33	3,5	30,727	29,211	28,706	M 33
33	3	31,051	29,752	29,319	M 33x3
33	2	31,701	30,835	30,546	M 33x2
33	1,5	32,026	31,376	31,160	M 33x1,5
33	1	32,350	31,917	31,773	M 33x1
33	0,75	32,513	32,188	32,080	M 33x0,75
35	1,5	34,026	33,376	33,160	M 35x1,5*
36	4	33,402	31,670	31,093	M 36
36	3	34,051	32,752	32,319	M 36x3
36	2	34,701	33,835	33,546	M 36x2
36	1,5	35,026	34,376	34,160	M 36x1,5
36	1	35,350	34,917	34,773	M 36x1
38	1,5	37,026	36,376	36,160	M 38x1,5
39	4	36,402	34,670	34,093	M 39
39	3	37,051	35,752	35,319	M 39x3
39	2	37,701	36,835	36,546	M 39x2
39	1,5	38,026	37,376	37,160	M 39x1,5
39	1	38,350	37,917	37,773	M 39x1
40	3	38,051	36,752	36,319	M 40
40	2	38,701	37,835	37,546	M 40x2
40	1,5	39,026	38,376	38,160	M 40x1,5
42	4,5	39,077	37,129	36,479	M 42
42	4	39,402	37,670	37,093	M 42x4
42	3	40,051	38,752	38,319	M 42x3
42	2	40,701	39,835	39,546	M 42x2
42	1,5	41,026	40,376	40,160	M 42x1,5
42	1	41,350	40,917	40,773	M 42x1
45	4,5	42,077	40,129	39,479	M 45
45	4	42,402	40,670	40,093	M 45x4
45	3	43,051	41,752	41,319	M 45x3
45	2	43,701	42,835	42,546	M 45x2
45	1,5	44,026	43,376	43,160	M 45x1,5
45	1	44,350	43,917	43,773	M 45x1
48	5	44,752	42,587	41,866	M 48
48	4	45,402	43,670	43,093	M 48x4
48	3	46,051	44,752	44,319	M 48x3
48	2	46,701	45,835	45,546	M 48x2
48	1,5	47,026	46,376	46,160	M 48x1,5
48	1	47,350	46,917	46,773	M 48x1
50	3	48,051	46,752	46,319	M 50x3
50	2	48,701	47,835	47,546	M 50x2
50	1,5	49,026	48,376	48,160	M 50x1,5
52	5	48,752	46,587	45,866	M 52
52	4	49,402	47,670	47,093	M 52x4
52	3	50,051	48,752	48,319	M 52x3
52	2	50,701	49,835	49,546	M 52x2
52	1,5	51,026	50,376	50,160	M 52x1,5
52	1	51,350	50,917	50,773	M 52x1
55	4	52,402	50,670	50,093	M 55x4
55	3	53,051	51,752	51,319	M 55x3
55	2	53,701	52,835	52,546	M 55x2
55	1,5	54,026	53,376	53,160	M 55x1,5
56	5,5	52,428	50,046	49,252	M 56
56	4	53,402	51,670	51,093	M 56x4
56	3	54,051	52,752	52,319	M 56x3
56	2	54,701	53,835	53,546	M 56x2
56	1,5	55,026	54,376	54,160	M 56x1,5
56	1	55,350	54,917	54,773	M 56x1
58	4	55,402	53,670	53,093	M 58x4
58	3	56,051	54,752	54,319	M 58x3
58	2	56,701	55,835	55,546	M 58x2
58	1,5	57,026	56,376	56,160	M 58x1,5
60	5,5	56,428	54,046	53,252	M 60
60	4	57,402	55,670	55,093	M 60x4
60	3	58,051	56,752	56,319	M 60x3
60	2	58,701	57,835	57,540	M 60x2
60	1,5	59,026	58,376	58,160	M 60x1,5
60	1	59,350	58,917	58,773	M 60x1
62	4	59,402	57,670	57,093	M 62x4
62	3	60,051	58,752	58,319	M 62x3
62	2	60,701	59,835	59,546	M 62x2
62	1,5	61,026	60,376	60,160	M 62x1,5
64	6	60,103	57,505	56,639	M 64
64	4	61,402	59,670	59,093	M 64x4
64	3	62,051	60,752	60,319	M 64x3
64	2	62,701	61,835	61,546	M 64x2
64	1,5	63,026	62,376	62,160	M 64x1,5
64	1	63,350	62,917	62,773	M 64x1
65	4	62,402	60,670	60,093	M 65x4
65	3	63,051	61,752	61,319	M 65x3
65	2	63,701	62,835	62,546	M 65x2
65	1,5	64,026	63,376	63,160	M 65x1,5
68	6	64,103	61,505	60,639	M 68
68	4	65,402	63,670	63,093	M 68x4
68	3	66,051	64,752	64,319	M 68x3
68	2	66,701	65,835	65,546	M 68x2
68	1,5	67,026	66,376	66,160	M 68x1,5
68	1	67,350	66,917	66,773	M 68x1
70	6	66,103	63,505	62,639	M 70
70	4	67,402	65,670	65,093	M 70x4
70	3	68,051	66,752	66,319	M 70x3
70	2	68,701	67,835	67,546	M 70x2
70	1,5	69,026	68,376	68,160	M 70x1,5
72	6	68,103	65,505	64,639	M 72x6
72	4	69,402	67,670	67,093	M 72x4
72	3	70,051	68,752	68,319	M 72x3
72	2	70,701	69,835	69,546	M 72x2
72	1,5	71,026	70,376	70,160	M 72x1,5
72	1	71,350	70,917	70,779	M 72x1
75	4	72,402	70,670	70,093	M 75x4
75	3	73,051	71,752	71,319	M 75x3
75	2	73,701	72,835	72,546	M 75x2
75	1,5	74,026	73,376	73,160	M 75x1,5
76	6	72,103	69,505	68,639	M 76x6
76	4	73,402	71,670	71,093	M 76x4
76	3	74,051	72,752	72,319	M 76x3
76	2	74,701	73,835	73,546	M 76x2
76	1,5	75,026	74,376	74,160	M 76x1,5
76	1	75,350	74,917	73,773	M 76x1
78	2	76,701	75,835	75,546	M 78x2
80	6	76,103	73,505	72,639	M 80x6
80	4	77,402	75,670	75,093	M 80x4
80	3	78,051	76,752	76,319	M 80x3
80	2	78,701	77,835	77,546	M 80x2
80	1,5	79,026	78,376	78,160	M 80x1,5
80	1	79,350	78,917	78,773	M 80x1
82	2	80,701	79,835	79,546	M 82x2
85	6	81,103	78,505	77,639	M 85x6
85	4	82,402	80,670	80,093	M 85x4
85	3	83,051	81,752	71,319	M 85x3
85	2	83,701	82,835	85,546	M 85x2
85	1,5	84,026	83,376	83,160	M 85x1,5
90	6	86,103	83,505	82,639	M 90x6
90	4	87,402	85,670	85,093	M 90x4
90	3	88,051	86,752	86,319	M 90x3
90	2	88,701	87,835	87,546	M 90x2
90	1,5	89,026	88,376	88,160	M 90x1,5
95	6	91,103	88,505	87,639	M 95x6
95	4	82,402	90,670	90,093	M 95x4
95	3	93,051	91,752	91,319	M 95x3
95	2	93,701	92,835	92,546	M 95x2
95	1,5	94,026	93,376	93,160	M 95x1,5
100	6	96,103	93,505	92,639	M 100x6
100 4	97,402	95,670	95,093	M 100x4
100	3	98,051	96,752	96,319	M 100x3
100	2	98,701	97,835	97,546	M 100x2
100	1,5	99,026	98,376	98,160	M 100x1,5
105	6	101,103	98,505	97,639	M 105x6
105	4	102,402	100,670	100,093	M 105x4
105	3	103,051	101,752	101,319	M 105x3
110	6	106,103	103,505	102,639	M 110x6
110	4	107,402	105,670	105,093	M 110x4
110	3	108,051	106,752	106,319	M 110x3
110	2	108,701	107,835	107,546	M 110x2
110	1,5	109,026	108,376	108,160	M 110x1,5
115	6	111,103	108,505	107,639	M 115x6
115	4	112,402	110,670	110,093	M 115x4
115	3	113,051	111,752	111,319	M 115x3
115	2	113,701	112,835	112,546	M 115x2
120	6	116,103	113,505	112,639	M 120x6
120	4	117,402	115,670	115,093	M 120x4
120	3	118,051	116,752	113,319	M 120x3
120	2	118,701	117,835	117,546	M 120x2
125	8	119,804	116,340	115,185	M 125x8
125	6	121,103	118,505	117,639	M 125x6
125	4	122,402	120,670	120,093	M 125x4
125	3	123,051	121,752	121,319	M 125x3
125	2	123,701	122,835	122,546	M 125x2
130	8	124,804	121,340	120,185	M 130x8
130	6	126,103	123,505	122,639	M 130x6
130	4	127,402	125,670	125,093	M 130x4
130	3	128,051	126,752	126,319	M 130x3
130	2	128,701	127,835	127,546	M 130x2
135	6	131,103	128,505	127,639	M 135x6
135	4	132,402	130,670	130,093	M 135x4
135	3	133,051	131,752	131,319	M 135x3
135	2	133,701	132,735	132,546	M 135x2
140	8	134,804	131,340	130,185	M 140x8
140	6	136,103	133,505	132,639	M 140x6
140	4	137,402	135,670	135,093	M 140x4
140	3	138,051	136,752	136,319	M 140x3
140	2	138,701	137,835	137,546	M 140x2
145	6	141,103	138,505	137,639	M 145x6
145	4	142,402	140,670	140,093	M 145x4
145	3	143,051	141,752	141,319	M 145x3
145	2	143,701	142,835	142,546	M 145x2
150	8	144,804	141,340	140,185	M 150x8
150	6	146,103	143,506	142,639	M 150x6
150	4	147,402	145,670	145,093	M 150x4
150	3	148,051	146,752	146,319	M 150x3
150	2	148,701	147,835	147,546	M 150x2
155	6	151,103	148,505	147,639	M 155x6
155	4	152,402	150,670	150,093	M 155x4
155	3	153,051	151,752	151,319	M 155x3
160	8	154,804	151,340	150,185	M 160x8
160	6	156,103	153,506	152,639	M 160x6
160	4	157,402	155,670	155,093	M 160x4
160	3	158,051	156,752	156,319	M 160x3
165	6	161,103	158,505	157,639	M 165x6
165	4	162,402	160,670	160,093	M 165x4
165	3	163,051	161,752	161,319	M 165x3
170	8	164,804	161,340	160,185	M 170x8
170	6	166,103	163,506	162,639	M 170x6
170	4	167,402	165,670	165,093	M 170x4
170	3	168,051	166,752	166,319	M 170x3
175	6	171,103	168,505	167,639	M 175x6
175	4	172,402	170,670	170,093	M 175x4
175	3	173,051	171,752	171,319	M 175x3
180	8	174,804	171,340	170,185	M 180x8
180	6	176,103	173,506	172,639	M 180x6
180	4	177,402	175,670	175,093	M 180x4
180	3	178,051	176,752	176,319	M 180x3
185	6	181,103	178,505	177,639	M 185x6
185	4	182,402	180,670	180,093	M 185x4
185	3	183,051	181,752	181,319	M 185x3
190	8	184,804	181,340	180,185	M 190x8
190	6	186,103	183,505	182,639	M 190x6
190	4	187,402	185,670	185,093	M 190x4
190	3	188,051	186,752	186,319	M 190x3
195	6	191,103	188,505	187,639	M 195x6
195	4	192,402	190,670	190,093	M 195x4
195	3	193,051	191,752	191,319	M 195x3
200	8	194,804	191,340	190,185	M 200x8
200	6	196,103	193,505	196,639	M 200x6
200	4	197,402	195,670	195,093	M 200x4
200	3	198,051	196,752	192,319	M 200x3
205	6	201,103	198,505	197,639	M 205x6
205	4	202,402	200,670	200,093	M 205x4
205	3	203,051	201,752	201,319	M 205x3
210	8	204,804	201,340	200,185	M 210x8
210	6	206,103	203,505	202,639	M 210x6
210	4	207,402	205,670	205,093	M 210x4
210	3	208,051	206,752	206,319	M 210x3
215	6	211,103	208,505	207,639	M 215x6
215	4	212,402	210,670	210,093	M 215x4
215	3	213,051	211,752	211,319	M 215x3
220	8	214,804	211,340	210,185	M 220x8
220	6	216,103	213,505	212,639	M 220x6
220	4	217,402	215,670	215,093	M 220x4
220	3	218,051	216,752	216,319	M 220x3
225	6	221,103	218,505	217,639	M 225x6
225	4	222,402	220,670	220,093	M 225x4
225	3	223,051	221,752	221,319	M 225x3
230	8	224,804	221,340	220,185	M 230x8
230	6	226,103	223,505	222,639	M 230x6
230	4	227,402	225,670	225,093	M 230x4
230	3	228,051	226,752	226,319	M 230x3
235	6	231,103	228,505	227,639	M 235x6
235	4	232,402	230,670	230,093	M 235x4
235	3	233,051	231,752	231,319	M 235x3
240	8	234,804	231,340	230,185	M 240x8
240	6	236,103	233,505	232,639	M 240x6
240	4	237,402	235,670	235,093	M 240x4
240	3	238,051	236,752	236,319	M 240x3
245	6	241,103	238,505	237,639	M 245x6
245	4	242,402	240,670	240,093	M 245x4
245	3	243,051	241,752	241,319	M 245x3
250	8	244,804	241,340	240,185	M 250x8
250	6	246,103	243,506	242,639	M 250x6
250	4	247,402	245,670	245,093	M 250x4
250	3	248,051	246,752	246,319	M 250x3
255	6	251,103	248,505	247,639	M 255x6
255	4	252,402	250,670	250,093	M 255x4
260	8	254,804	251,340	250,185	M 260x8
260	6	256,103	253,506	252,639	M 260x6
260	4	257,402	255,670	255,093	M 260x4
265	6	261,103	258,505	257,639	M 265x6
265	4	262,402	260,670	260,093	M 265x4
270	8	264,804	261,340	260,185	M 270x8
270	6	266,103	263,506	252,639	M 270x6
270	4	267,402	265,670	265,093	M 270x4
275	6	271,103	268,505	267,639	M 275x6
275	4	272,402	270,670	270,093	M 275x4
280	8	274,804	271,340	270,185	M 280x8
280	6	276,103	273,506	272,639	M 280x6
280	4	277,402	275,670	275,093	M 280x4
285	6	281,103	278,505	277,639	M 285x6
285	4	282,402	280,670	280,093	M 285x4
290	8	284,804	281,340	280,185	M 290x8
290	6	286,103	283,505	282,639	M 290x6
290	4	287,402	285,670	290,093	M 290x4
295	6	291,103	288,505	287,639	M 295x6
295	4	292,402	290,670	290,093	M 295x4
300	8	294,804	291,340	290,185	M 300x8
300	6	296,103	293,505	292,639	M 300x6
300	4	297,402	295,670	295,093	M 300x4
