M 50×3	3	46,752	48,051	46,319
M 50×2	2	47,835	48,701	47,546
M 50×1,5	1,5	48,376	49,026	48,16
M 52	5	46,587	48,752	45,866
M 52×4	4	47,67	49,402	47,093
M 52×3	3	48,752	50,051	48,319
M 52×2	2	49,835	50,701	49,546
M 52×1,5	1,5	50,376	51,026	50,16
M 52×1	1	50,917	51,35	50,773
M 55×4	4	50,67	52,402	50,093
M 55×3	3	51,752	53,051	51,319
M 55×2	2	52,835	53,701	52,546
M 55×1,5	1,5	53,376	54,026	53,16
M 56	5,5	50,046	52,428	49,252
M 56×4	4	51,67	53,402	51,093
M 56×3	3	52,752	54,051	52,319
M 56×2	2	53,835	54,701	53,546
M 56×1,5	1,5	54,376	55,026	54,16
M 56×1	1	54,917	55,35	54,773
M 58×4	4	53,67	55,402	53,093
M 58×3	3	54,752	56,051	54,319
M 58×2	2	55,835	56,701	55,546
M 58×1,5	1,5	56,376	57,026	56,16
M 60	5,5	54,046	56,428	53,252
M 60×4	4	55,67	57,402	55,093
M 60×3	3	56,752	58,051	56,319
M 60×2	2	57,835	58,701	57,546
M 60×1,5	1,5	58,376	59,026	58,16
M 60×1	1	58,917	59,35	58,773
M 62×4	4	57,67	59,402	57,093
M 62×3	3	58,752	60,051	58,319
M 62×2	2	59,835	60,701	59,546
M 62×1,5	1,5	60,376	61,026	60,16
M 64	6	57,505	60,103	56,639
M 64×4	4	59,67	61,402	59,093
M 64×3	3	60,752	62,051	60,319
M 64×2	2	61,835	62,701	61,546
M 64×1,5	1,5	62,376	63,026	62,16
M 64×1	1	62,917	63,35	62,773
M 65×4	4	60,67	62,402	60,093
M 65×3	3	61,752	63,051	61,319
M 65×2	2	62,835	63,701	62,546
M 65×1,5	1,5	63,376	64,026	63,16
M 68	6	61,505	64,103	60,639
M 68×4	4	63,67	65,402	63,093
M 68×3	3	64,752	66,051	64,319
M 68×2	2	65,835	66,701	65,546
M 68×1,5	1,5	66,376	67,026	66,16
M 68×1	1	66,917	67,35	66,773
M 70	6	63,505	66,103	62,639
M 70×4	4	65,67	67,402	65,093
M 70×3	3	66,752	68,051	66,319
M 70×2	2	67,835	68,701	67,546
M 70×1,5	1,5	68,376	69,026	68,16
M 72×6	6	65,505	68,103	64,639
M 72×4	4	67,67	69,402	67,093
M 72×3	3	68,752	70,051	68,319
M 72×2	2	69,835	70,701	69,546
M 72×1,5	1,5	70,376	71,026	70,16
M 72×1	1	70,917	71,35	70,773
M 75×4	4	70,67	72,402	70,093
M 75×3	3	71,752	73,051	71,319
M 75×2	2	72,835	73,701	72,546
M 75×1,5	1,5	73,376	74,026	73,16
M 76×6	6	69,505	72,103	68,639
M 76×4	4	71,67	73,402	71,093
M 76×3	3	72,752	74,051	72,319
M 76×2	2	73,835	74,701	73,546
M 76×1,5	1,5	74,376	75,026	74,16
M 76×1	1	74,917	75,35	74,773
M 78×2	2	75,835	76,701	75,546
M 80×6	6	73,505	76,103	72,639
M 80×4	4	75,67	77,402	75,093
M 80×3	3	76,752	78,051	76,319
M 80×2	2	77,835	78,701	77,546
M 80×1,5	1,5	78,376	79,026	78,16
M 80×1	1	78,917	79,35	78,773
M 82×2	2	79,835	80,701	79,546
