Označení závitu|Rozteč závitu 

P|Malý průměr závitu

D1 = d1|Střední průměr závitu

D2 = d2|Průměr jádra závitu

d3
M 85×6|6|78,505|81,103|77,639
M 85×4|4|80,67|82,402|80,093
M 85×3|3|81,752|83,051|71,319
M 85×2|2|82,835|83,701|85,546
M 85×1,5|1,5|83,376|84,026|83,16
M 90×6|6|83,505|86,103|82,639
M 90×4|4|85,67|87,402|85,093
M 90×3|3|86,752|88,051|86,319
M 90×2|2|87,835|88,701|87,546
M 90×1,5|1,5|88,376|89,026|88,16
M 95×6|6|88,505|91,103|87,639
M 95×4|4|90,67|82,402|90,093
M 95×3|3|91,752|93,051|91,319
M 95×2|2|92,835|93,701|92,546
M 95×1,5|1,5|93,376|94,026|93,16
M 100×6|6|93,505|96,103|92,639
M 100×4|4|95,67|97,402|95,093
M 100×3|3|96,752|98,051|96,319
M 100×2|2|97,835|98,701|97,546
M 100×1,5|1,5|98,376|99,026|98,16
M 105×6|6|98,505|101,103|97,639
M 105×4|4|100,67|102,402|100,093
M 105×3|3|101,752|103,051|101,319
M 110×6|6|103,505|106,103|102,639
M 110×4|4|105,67|107,402|105,093
M 110×3|3|106,752|108,051|106,319
M 110×2|2|107,835|108,701|107,546
M 110×1,5|1,5|108,376|109,026|108,16
M 115×6|6|108,505|111,103|107,639
M 115×4|4|110,67|112,402|110,093
M 115×3|3|111,752|113,051|111,319
M 115×2|2|112,835|113,701|112,546
M 120×6|6|113,505|116,103|112,639
M 120×4|4|115,67|117,402|115,093
M 120×3|3|116,752|118,051|113,319
M 120×2|2|117,835|118,701|117,546
M 125×8|8|116,34|119,804|115,185
M 125×6|6|118,505|121,103|117,639
M 125×4|4|120,67|122,402|120,093
M 125×3|3|121,752|123,051|121,319
M 125×2|2|122,835|123,701|122,546
M 130×8|8|121,34|124,804|120,185
M 130×6|6|123,505|126,103|122,639
M 130×4|4|125,67|127,402|125,093
M 130×3|3|126,752|128,051|126,319
M 130×2|2|127,835|128,701|127,546
M 135×6|6|128,505|131,103|127,639
M 135×4|4|130,67|132,402|130,093
M 135×3|3|131,752|133,051|131,319
M 135×2|2|132,735|133,701|132,546
M 140×8|8|131,34|134,804|130,185
M 140×6|6|133,505|136,103|132,639
M 140×4|4|135,67|137,402|135,093
M 140×3|3|136,752|138,051|136,319
M 140×2|2|137,835|138,701|137,546
M 145×6|6|138,505|141,103|137,639
M 145×4|4|140,67|142,402|140,093
M 145×3|3|141,752|143,051|141,319
M 145×2|2|142,835|143,701|142,546
M 150×8|8|141,34|144,804|140,185
M 150×6|6|143,506|146,103|142,639
M 150×4|4|145,67|147,402|145,093
M 150×3|3|146,752|148,051|146,319
M 150×2|2|147,835|148,701|147,546
M 155×6|6|148,505|151,103|147,639
M 155×4|4|150,67|152,402|150,093
M 155×3|3|151,752|153,051|151,319
M 160×8|8|151,34|154,804|150,185
M 160×6|6|153,506|156,103|152,639
M 160×4|4|155,67|157,402|155,093
M 160×3|3|156,752|158,051|156,319
M 165×6|6|158,505|161,103|157,639
M 165×4|4|160,67|162,402|160,093
M 165×3|3|161,752|163,051|161,319
M 170×8|8|161,34|164,804|160,185
M 170×6|6|163,506|166,103|162,639
M 170×4|4|165,67|167,402|165,093
M 170×3|3|166,752|168,051|166,319
M 175×6|6|168,505|171,103|167,639
M 175×4|4|170,67|172,402|170,093
M 175×3|3|171,752|173,051|171,319
