M 1	0,25	0,729	0,838	0,693
M 1×0,2	0,2	0,783	0,87	0,755
M 1,1	0,25	0,829	0,938	0,793
M 1,1×0,2	0,2	0,883	0,97	0,855
M 1,2	0,25	0,929	1,038	0,893
M 1,2×0,2	0,2	0,983	1,07	0,955
M 1,4	0,3	1,075	1,205	1,032
M 1,4×0,2	0,2	1,183	1,27	1,155
M 1,6	0,35	1,221	1,373	1,171
M 1,6×0,2	0,2	1,383	1,47	1,355
M 1,8	0,35	1,421	1,573	1,371
M 1,8×0,2	0,2	1,583	1,67	1,555
M 2	0,4	1,567	1,74	1,509
M 2×0,25	0,25	1,729	1,838	1,693
M 2,2	0,450	1,713	1,908	1,648
M 2,2×0,25	0,25	1,929	2,038	1,893
M 2,5	0,45	2,013	2,208	1,948
M 2,5×0,35	0,35	2,121	2,273	2,071
M 3	0,5	2,459	2,675	2,387
M 3 × 0,35	0,35	2,621	2,773	2,571
M 3,5	0,6	2,85	3,11	2,764
M 3,5×0,35	0,35	3,121	3,273	3,071
M 4	0,7	3,242	3,545	3,141
M 4×0,5	0,5	3,459	3,675	3,387
M 4,5	0,75	3,688	4,013	3,58
M 4,5×0,5	0,5	3,959	4,175	3,887
M 5	0,8	4,134	4,48	4,019
M 5×0,5	0,5	4,459	4,675	4,387
M 5,5×0,5	0,5	4,959	5,175	4,887
M 6	1	4,917	5,35	4,773
M 6×0,75	0,75	5,188	5,513	5,08
M 6×0,5	0,5	5,459	5,675	5,387
M 7	1	5,917	6,35	5,773
M 7×0,75	0,75	6,188	6,513	6,08
M 7×0,5	0,5	6,459	6,675	6,387
M 8	1,25	6,647	7,188	6,466
M 8×1	1	6,917	7,35	6,773
M 8×0,75	0,75	7,188	7,513	7,08
M 8×0,5	0,5	7,459	7,675	7,387
M 9	1,25	7,647	8,188	7,466
M 9×1	1	7,917	8,35	7,773
M 9×0,75	0,75	8,188	8,513	8,08
M 9×0,5	0,5	8,459	8,675	8,387
M 10	1,5	8,376	9,026	8,16
M 10×1,25	1,25	8,647	9,188	8,466
M 10×1	1	8,917	9,35	8,773
M 10×0,75	0,75	9,188	9,513	9,08
M 10×0,5	0,5	9,459	9,675	9,387
M 11	1,5	9,376	10,026	9,16
M 11×1	1	9,917	10,35	9,773
M 11×0,75	0,75	10,188	10,513	10,08
M 11×0,5	0,5	10,459	10,675	10,387
M 12	1,75	10,106	10,863	9,853
M 12×1,5	1,5	10,376	11,026	10,16
M 12×1,25	1,25	10,647	11,188	10,466
M 12×1	1	10,917	11,35	10,773
M 12×0,75	0,75	11,188	11,513	11,08
M 12×0,5	0,5	11,459	11,675	11,387
M 14	2	11,835	12,701	11,546
M 14×1,5	1,5	12,376	13,026	12,16
M 14×1,25*	1,25	12,647	13,188	12,466
M 14×1	1	12,917	13,35	12,773
M 14×0,75	0,75	13,188	13,513	13,08
M 14×0,5	0,5	13,459	13,675	13,387
M 15×1,5	1,5	13,376	14,026	13,16
M 15×1	1	13,917	14,35	13,773
M 16	2	13,835	14,701	13,546
M 16×1,5	1,5	14,376	15,026	14,16
M 16×1	1	14,917	15,35	14,773
M 16×0,75	0,75	15,188	15,513	15,08
M 16×0,5	0,5	15,459	15,675	15,387
M 17×1,5	1,5	15,376	16,026	15,16
M 17×1	1	15,917	16,35	15,773
M 18	2,5	15,294	16,376	14,933
M 18×2	2	15,835	16,701	15,546
M 18×1,5	1,5	16,376	17,026	16,16
M 18×1	1	16,917	17,35	16,773
M 18×0,75	0,75	17,188	17,513	17,08
M 18×0,5	0,5	17,459	17,675	17,387
