M 20	2,5	17,294	18,376	16,933
M 20×2	2	17,835	18,701	17,546
M 20×1,5	1,5	18,376	19,026	18,16
M 20×1	1	18,917	19,35	18,773
M 20×0,75	0,75	19,188	19,513	19,08
M 20×0,5	0,5	19,459	19,675	19,387
M 22	2,5	19,294	20,376	18,933
M 22×2	2	19,835	20,701	19,546
M 22×1,5	1,5	20,376	21,026	20,16
M 22×1	1	20,917	21,35	20,773
M 22×0,75	0,75	21,188	21,513	21,08
M 22×0,5	0,5	21,459	21,675	21,387
M 24	3	20,752	22,051	20,319
M 24×2	2	21,835	22,701	21,546
M 24×1,5	1,5	22,376	23,026	22,16
M 24×1	1	22,917	23,35	22,773
M 24×0,75	0,75	23,188	23,513	23,08
M 25×2	2	22,835	23,701	22,546
M 25×1,5	1,5	23,376	24,026	23,16
M 25×1	1	23,917	24,35	23,773
M 26×1,5	1,5	24,376	25,026	24,16
M 27	3	23,752	25,051	23,319
M 27×2	2	24,835	25,701	24,546
M 27×1,5	1,5	25,376	26,026	25,16
M 27×1	1	25,917	26,35	25,773
M 27×0,75	0,75	26,188	26,513	26,08
M 28×2	2	25,835	26,701	25,546
M 28×1,5	1,5	26,376	27,026	26,16
M 28×1	1	26,917	27,35	26,773
M 30	3,5	26,211	27,727	25,706
M 30×3	3	26,752	28,051	26,319
M 30×2	2	27,835	28,701	27,546
M 30×1,5	1,5	28,376	29,026	28,16
M 30×1	1	28,917	29,35	28,773
M 30×0,75	0,75	29,188	29,513	29,08
M 32×2	2	29,835	30,701	29,546
M 32×1,5	1,5	30,376	31,026	30,16
M 33	3,5	29,211	30,727	28,706
M 33×3	3	29,752	31,051	29,319
M 33×2	2	30,835	31,701	30,546
M 33×1,5	1,5	31,376	32,026	31,16
M 33×1	1	31,917	32,35	31,773
M 33×0,75	0,75	32,188	32,513	32,08
M 35×1,5*	1,5	33,376	34,026	33,16
M 36	4	31,67	33,402	31,093
M 36×3	3	32,752	34,051	32,319
M 36×2	2	33,835	34,701	33,546
M 36×1,5	1,5	34,376	35,026	34,16
M 36×1	1	34,917	35,35	34,773
M 38×1,5	1,5	36,376	37,026	36,16
M 39	4	34,67	36,402	34,093
M 39×3	3	35,752	37,051	35,319
M 39×2	2	36,835	37,701	36,546
M 39×1,5	1,5	37,376	38,026	37,16
M 39×1	1	37,917	38,35	37,773
M 40	3	36,752	38,051	36,319
M 40×2	2	37,835	38,701	37,546
M 40×1,5	1,5	38,376	39,026	38,16
M 42	4,5	37,129	39,077	36,479
M 42×4	4	37,67	39,402	37,093
M 42×3	3	38,752	40,051	38,319
M 42×2	2	39,835	40,701	39,546
M 42×1,5	1,5	40,376	41,026	40,16
M 42×1	1	40,917	41,35	40,773
M 45	4,5	40,129	42,077	39,479
M 45×4	4	40,67	42,402	40,093
M 45×3	3	41,752	43,051	41,319
M 45×2	2	42,835	43,701	42,546
M 45×1,5	1,5	43,376	44,026	43,16
M 45×1	1	43,917	44,35	43,773
M 48	5	42,587	44,752	41,866
M 48×4	4	43,67	45,402	43,093
M 48×3	3	44,752	46,051	44,319
M 48×2	2	45,835	46,701	45,546
M 48×1,5	1,5	46,376	47,026	46,16
M 48×1	1	46,917	47,35	46,773
